file	motifs	min_ml	m6A-within-motifs	motifs-covered-by-m6A	AT-bases-covered-by-motifs	n-of-motifs	m6A-coverage	n-of-m6A-bp
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	159	1.0	0.23731076	1.0	3261681.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	166	1.0	0.076263427	1.0	128603622.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	169	1.0	0.069830398	1.0	126057107.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	171	1.0	0.06799565	1.0	122571899.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	173	1.0	0.06753364	1.0	118500424.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	174	1.0	0.067493143	1.0	114698156.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	175	1.0	0.067519779	1.0	111504156.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	176	1.0	0.06529456	1.0	114620330.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	177	1.0	0.063808096	1.0	115368150.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	178	1.0	0.063981061	1.0	111510639.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	179	1.0	0.064440667	1.0	107636332.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	180	1.0	0.063344395	1.0	108162514.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	181	1.0	0.06148713	1.0	110708110.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	182	1.0	0.061039442	1.0	109072721.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	183	1.0	0.053214981	1.0	129155511.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	184	1.0	0.057422292	1.0	109341107.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	185	1.0	0.05640966	1.0	109331097.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	186	1.0	0.055390935	1.0	109388946.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	187	1.0	0.054578324	1.0	108887459.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	188	1.0	0.054278221	1.0	106803593.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	189	1.0	0.053012329	1.0	107725337.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	190	1.0	0.052227359	1.0	107276859.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	191	1.0	0.051703615	1.0	106012955.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	192	1.0	0.050739702	1.0	106176993.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	193	1.0	0.049939157	1.0	105749262.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	194	1.0	0.048943484	1.0	106008882.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	195	1.0	0.047998214	1.0	105937712.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	196	1.0	0.047782441	1.0	103737585.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	197	1.0	0.046949599	1.0	103627552.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	198	1.0	0.045535077	1.0	105316831.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	199	1.0	0.044723694	1.0	104931649.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	200	1.0	0.044108749	1.0	103925141.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	201	1.0	0.043092322	1.0	104256437.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	202	1.0	0.042374323	1.0	103607177.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	203	1.0	0.041303197	1.0	104305412.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	204	1.0	0.040387905	1.0	104337128.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	205	1.0	0.039488124	1.0	104187807.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	206	1.0	0.038786851	1.0	103227509.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	207	1.0	0.038140156	1.0	102376062.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	208	1.0	0.037234099	1.0	102501877.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	209	1.0	0.036591106	1.0	101490482.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	210	1.0	0.035756836	1.0	101480568.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	211	1.0	0.034943502	1.0	101329053.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	212	1.0	0.034230737	1.0	100918306.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	213	1.0	0.033442894	1.0	100494444.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	214	1.0	0.032658062	1.0	100308862.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	215	1.0	0.03196504	1.0	99502893.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	216	1.0	0.031199666	1.0	99212280.0	0.076016723	9818083
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	217	1.0	0.030175551	1.0	100135370.0	0.076016723	9818083
