FPR,TPR,threshold,tag
0.0,0.0,64.0,ipd
0.0,1.2778736182991502e-05,63.0,ipd
0.0,5.111494473196601e-05,59.0,ipd
0.0,7.667241709794901e-05,58.0,ipd
0.0,8.945115328094052e-05,57.0,ipd
0.0,0.00014056609801290653,55.0,ipd
0.0,0.00017890230656188104,54.0,ipd
0.0,0.00020445977892786404,53.0,ipd
0.0,0.00030668966839179603,51.0,ipd
0.0,0.00037058334930675357,50.0,ipd
0.0,0.0005622643920516261,49.0,ipd
0.0,0.0008433965880774391,47.0,ipd
8.354323571306241e-07,0.0009839626860903457,46.0,ipd
8.354323571306241e-07,0.0011756437288352182,45.0,ipd
8.354323571306241e-07,0.0015206696057759887,44.0,ipd
8.354323571306241e-07,0.001929589163631717,43.0,ipd
8.354323571306241e-07,0.0024151811385853938,42.0,ipd
1.6708647142612481e-06,0.003028560475368986,41.0,ipd
3.3417294285224962e-06,0.0037569484377995015,40.0,ipd
5.0125941427837446e-06,0.0048303622771707876,39.0,ipd
6.6834588570449925e-06,0.006006006006006006,38.0,ipd
1.0025188285567489e-05,0.007347773305220114,37.0,ipd
1.1696052999828736e-05,0.00935403488594978,36.0,ipd
1.7544079499743106e-05,0.011948118331097055,35.0,ipd
1.9214944214004353e-05,0.014823333972270142,34.0,ipd
2.4227538356788098e-05,0.018695291035716568,33.0,ipd
3.091099721383309e-05,0.023678998147083255,32.0,ipd
3.926532078513933e-05,0.030336719698421825,31.0,ipd
4.8455076713576195e-05,0.03778672289310587,30.0,ipd
6.182199442766618e-05,0.047064085361957705,29.0,ipd
8.35432357130624e-05,0.05937000830617852,28.0,ipd
0.00010944163878411174,0.0748833940323302,27.0,ipd
0.00014703609485498982,0.09269695227142036,26.0,ipd
0.00020217463042561103,0.11526420037058335,25.0,ipd
0.0002606548954247547,0.14199731646540156,24.0,ipd
0.0003642485077089521,0.17472365983004282,23.0,ipd
0.0004945759554213294,0.2133921155197751,22.0,ipd
0.0006725230474901524,0.25883330138649285,21.0,ipd
0.0009607472107002177,0.31137946457095395,20.0,ipd
0.0013208185566235167,0.3708772602389624,19.0,ipd
0.0018463055092586792,0.43672608778991756,18.0,ipd
0.002568954498176669,0.5086959299725257,17.0,ipd
0.0035898528385902915,0.5856622580026836,16.0,ipd
0.005025961060497834,0.6635614337741997,15.0,ipd
0.0070702640383964715,0.7379720145677593,14.0,ipd
0.010114579547780465,0.804638681234426,13.0,ipd
0.01462006624978592,0.8609801290652355,12.0,ipd
0.021093831585191125,0.9059357229569995,11.0,ipd
0.0305375589501957,0.9408855664174813,10.0,ipd
0.044397381754992755,0.9664302600472813,9.0,ipd
0.06429905136655847,0.9843204907034694,8.0,ipd
0.09271127040021387,0.9966775285924222,7.0,ipd
0.13171844258699983,0.999936106319085,6.0,ipd
0.1818719532826226,1.0,5.0,ipd
0.24414925834492496,1.0,4.0,ipd
0.32220620976871056,1.0,3.0,ipd
0.427258486948458,1.0,2.0,ipd
0.6097628625254284,1.0,1.0,ipd
